0.000000000000000000e+00
3,45E+17
9,04E+17
9,06E+17
3,50E+17
6,05E+13
3,35E+17
8,95E+17
9,16E+17
3,70E+17
9,67E+14
3,10E+17
8,77E+17
9,33E+17
4,04E+17
4,89E+15
2,72E+17
8,45E+17
9,55E+17
4,55E+17
1,54E+16
2,22E+17
7,99E+17
9,78E+17
5,22E+17
3,73E+16
1,65E+17
7,35E+17
9,95E+17
6,04E+17
7,63E+16
1,05E+17
6,50E+17
9,99E+17
6,97E+17
1,38E+17
4,99E+16
5,45E+17
9,82E+17
7,95E+17
2,28E+17
1,11E+16
4,23E+17
9,33E+17
8,89E+17
3,47E+17
8,87E+14
2,91E+17
8,47E+17
9,62E+17
4,92E+17
3,23E+16
1,63E+17
7,18E+17
9,99E+17
6,53E+17
1,16E+17
5,94E+16
5,53E+17
9,80E+17
8,10E+17
2,55E+17
3,73E+15
3,67E+17
8,94E+17
9,36E+17
4,41E+17
1,93E+16
1,87E+17
7,37E+17
9,98E+17
6,52E+17
1,21E+17
5,09E+16
5,25E+17
9,68E+17
8,46E+17
3,07E+17
5,29E+13
2,93E+17
8,34E+17
9,75E+17
5,49E+17
6,49E+16
9,82E+16
6,08E+17
9,90E+17
7,92E+17
2,50E+17
2,47E+15
3,40E+17
8,65E+17
9,62E+17
5,20E+17
5,42E+16
1,08E+17
6,17E+17
9,90E+17
7,96E+17
2,60E+17
9,87E+14
3,16E+17
8,42E+17
9,76E+17
5,65E+17
8,03E+16
7,39E+16
5,52E+17
9,71E+17
8,56E+17
3,39E+17
3,86E+15
2,27E+17
7,57E+17
9,98E+17
6,82E+17
1,63E+17
1,97E+16
4,11E+17
9,01E+17
9,46E+17
4,98E+17
5,24E+16
9,96E+16
5,87E+17
9,78E+17
8,46E+17
3,36E+17
4,78E+15
2,13E+17
7,32E+17
1,00E+18
7,27E+17
2,09E+17
4,92E+15
3,33E+17
8,40E+17
9,83E+17
6,10E+17
1,20E+17
3,47E+16
4,43E+17
9,11E+17
9,45E+17
5,09E+17
6,41E+16
7,74E+16
5,34E+17
9,54E+17
9,01E+17
4,30E+17
3,21E+16
1,20E+17
6,01E+17
9,78E+17
8,61E+17
3,73E+17
1,59E+16
1,54E+17
6,46E+17
9,88E+17
8,33E+17
3,40E+17
9,05E+15
1,75E+17
6,69E+17
9,92E+17
8,21E+17
3,28E+17
7,47E+15
1,79E+17
6,70E+17
9,92E+17
8,26E+17
3,38E+17
9,99E+15
1,66E+17
6,50E+17
9,87E+17
8,47E+17
3,68E+17
1,84E+16
1,37E+17
6,08E+17
9,74E+17
8,82E+17
4,22E+17
3,74E+16
9,72E+16
5,43E+17
9,47E+17
9,25E+17
4,99E+17
7,39E+16
5,31E+16
4,55E+17
8,99E+17
9,67E+17
5,97E+17
1,37E+17
1,57E+16
3,46E+17
8,20E+17
9,96E+17
7,13E+17
2,33E+17
1,34E+13
2,27E+17
7,04E+17
9,94E+17
8,33E+17
3,68E+17
2,39E+16
1,12E+17
5,51E+17
9,44E+17
9,37E+17
5,37E+17
1,05E+17
2,63E+16
3,71E+17
8,30E+17
9,96E+17
7,22E+17
2,52E+17
